"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209294_x_at",0.0476853586124708,5.68611947411914,0.842523994447997,0.402293847357512,0.835146892562141,-5.17883203158637
"206772_at",0.0499581642930931,6.01184065607863,0.842412661732719,0.402355727211177,0.835146892562141,-5.1789098658224
"35974_at",0.0631851491547888,5.36706708107303,0.842401676118421,0.40236183344302,0.835146892562141,-5.17891754547207
"211597_s_at",0.0568866194424569,10.5421436336626,0.842348190229996,0.402391563791324,0.835146892562141,-5.17895493414394
"217132_at",-0.0297715536608978,3.16401689657783,-0.842309360343604,0.402413148383957,0.835146892562141,-5.17898207625938
"201470_at",-0.0580290832310464,9.70135710532325,-0.842163659307772,0.40249414637769,0.83523062712869,-5.17908391047723
"203769_s_at",-0.0658728667727715,8.18879656139914,-0.842101938128732,0.402528461371225,0.83523062712869,-5.17912704381372
"213684_s_at",0.0358947843248392,3.47083825390059,0.841842004417925,0.402672995818087,0.835369277643277,-5.17930866244701
"209686_at",0.106757263998812,8.89467923403421,0.841791015850686,0.402701351404715,0.835369277643277,-5.17934428231048
"207652_s_at",-0.0504743808628865,4.81322209424111,-0.841768611623009,0.402713811153182,0.835369277643277,-5.17935993290795
"201078_at",-0.0744099056022094,8.73405343018129,-0.841681520428084,0.402762247752188,0.835369277643277,-5.17942076707906
"207797_s_at",0.0502215270657569,6.15525183270619,0.841644698672748,0.402782727594999,0.835369277643277,-5.17944648563613
"202132_at",-0.0409243864616995,5.02119873973012,-0.841533507364613,0.402844574807412,0.835419791571295,-5.17952414174721
"215559_at",-0.050775195177426,4.80717338453119,-0.841354481735112,0.402944165269023,0.835548560830974,-5.17964915234638
"207497_s_at",-0.0402097079587778,4.00634794365536,-0.841200269232089,0.403029964471279,0.835648711111335,-5.17975681552049
"211245_x_at",-0.0440458952267422,4.97739671428344,-0.841046211112136,0.403115688938471,0.835717635346083,-5.17986435165799
"218436_at",-0.0519538040892673,6.60165164495155,-0.840953957598467,0.40316702804233,0.835717635346083,-5.17992873753556
"47069_at",0.0379515057070066,6.98215714909394,0.840867219626699,0.403215301393403,0.835717635346083,-5.17998926769336
"205981_s_at",-0.0594781431644531,6.4286466233689,-0.840807582017125,0.403248494297272,0.835717635346083,-5.18003088230408
"222121_at",0.0390376136106338,3.59531338757595,0.840766555410793,0.403271329720671,0.835717635346083,-5.1800595086425
"220339_s_at",-0.0466474944800632,6.0171450471501,-0.84066445352048,0.403328163101703,0.835717635346083,-5.18013074437078
"206919_at",-0.0459557436602211,3.70194363045958,-0.840609875429706,0.403358545130254,0.835717635346083,-5.18016881963107
"220605_s_at",-0.0474435650718963,9.15658308340478,-0.840597337733902,0.403365524696884,0.835717635346083,-5.18017756595041
"210686_x_at",-0.0452443948875345,8.87514278821422,-0.840510841361804,0.403413678076266,0.835717635346083,-5.18023790250339
"209429_x_at",-0.0319600736538082,8.03567569230687,-0.840466699694531,0.403438253530396,0.835717635346083,-5.18026869170009
"201709_s_at",0.0366160287265824,9.50796623227774,0.840365390858184,0.403494659724629,0.835756785893653,-5.18033934951971
"215998_at",-0.0403584842157825,4.0007825228844,-0.840297385745634,0.403532525953697,0.835757530981153,-5.180386774998
"216892_at",-0.0600184820002552,5.3797639625139,-0.840216216900035,0.403577724783723,0.835773461092537,-5.18044337570518
"1007_s_at",0.0846726812289997,9.53125329435804,0.840142904353923,0.403618551497689,0.835780334822322,-5.18049449346097
"210588_x_at",0.0462825694830737,8.23561972087208,0.840073009618039,0.403657477232865,0.835783271248832,-5.18054322406297
"204350_s_at",-0.0518161924084843,6.94174571603931,-0.839972700081768,0.403713345570949,0.835821283968917,-5.18061315293784
